rssi,snr,plr,success
-67.01959604423539,14.473591446535687,0.629610700234577,0
-47.98396990886366,25.007716410971007,0.4560601214170332,1
-85.33144945084963,34.282873844984934,0.3819448930975625,1
-85.96048343609127,36.23269434137191,0.34197882435008997,1
-57.81666597696825,27.630401383176935,0.7109841958977854,1
-54.34282122897977,2.925968588080483,0.5215873218248055,0
-73.72062382477765,26.540855021751966,0.8588993591107669,1
-86.46442790774734,8.261034838400597,0.7806877404185467,0
-94.10100453244813,27.70516847881946,0.5075992120494147,0
-71.20819596693609,24.83283476195131,0.6996638831691006,1
-72.06348939958401,14.684816425411814,0.07222629399712921,1
-96.46145377660233,1.0904095523515345,0.31617453516965066,0
-82.06338093286567,12.945209558584331,0.9600264623859571,0
-57.698308208548426,12.845086622066955,0.6815944746652228,0
-56.924041267382535,14.626786228357314,0.31456371212343925,1
-84.20096306461087,16.86743018443596,0.8048499143229629,0
-44.6888529907003,11.56346560623712,0.525307728194922,1
-91.03660278966753,10.303358333303825,0.08844437212486822,0
-60.39294196707816,10.300025575181039,0.9361001956741981,0
-74.67884426560661,32.112289750013744,0.9479851004040702,0
-70.74221724634538,14.80043264983362,0.9135070020534636,0
-89.17877670193101,17.717964291245355,0.0697711030038266,1
-56.16833226562256,7.34928871954855,0.07480230434508339,1
-70.05883087005748,8.005362063439389,0.23260704838818402,0
-48.6958041847603,32.33137055198158,0.320850867757703,1
-42.45011055998966,10.018836353758868,0.6219401539530517,0
-55.23198665624143,29.263055157469935,0.10190675753119294,1
-45.885000228867746,2.322621902646884,0.20491083784775954,0
-89.4123915118416,0.8955117871570106,0.8497207599258131,0
-71.35449488449228,20.703927097183545,0.9293162082345133,0
-64.81328961911225,26.526381025604486,0.3222374392158708,1
-73.20513098942874,1.8170363259030253,0.16978877154959848,1
-58.11419749903529,36.748162839208604,0.7031832582722075,1
-75.46916601295268,38.82679588979765,0.5395935283326789,1
-99.5697336968638,24.122477854554806,0.08320060734725576,0
-42.19723901688872,17.58899739910418,0.8738632066697226,1
-97.29311525744329,6.843292428179986,0.3428355740554725,0
-49.03546942461562,34.22888780197837,0.8921429949766916,1
-60.888697170277695,29.582929293493947,0.6630293213998694,1
-85.06475804455488,2.544270241438036,0.8341722129535769,0
